"Date","L1-Category","L2-Category","Segment","L1-Region","L2-Region","Value","Value 2","Count","Rate"
"2015-01-01","Furniture","Bookcases","Consumer","Central","France","1106.09","-1154.71","8","-1"
"2015-01-01","Furniture","Bookcases","Consumer","North","United Kingdom","854.49","290.43","7","0.3399"
"2015-01-01","Furniture","Bookcases","Corporate","Central","France","155.36","36.23","1","0.2332"
"2015-01-01","Furniture","Bookcases","Corporate","Central","Germany","551.61","165.36","5","0.2998"
"2015-01-01","Furniture","Bookcases","Home Office","Central","France","652.32","7.2","2","0.011"
"2015-01-01","Furniture","Bookcases","Home Office","South","Italy","825.36","338.34","2","0.4099"
"2015-01-01","Furniture","Chairs","Consumer","North","United Kingdom","1384.29","13.77","3","0.0099"
"2015-01-01","Furniture","Chairs","Consumer","South","Italy","142.18","-151.76","4","-1"
"2015-01-01","Furniture","Chairs","Home Office","North","United Kingdom","290.1","69.6","5","0.2399"
"2015-01-01","Furniture","Furnishings","Consumer","Central","France","501.81","35.64","11","0.071"
"2015-01-01","Furniture","Furnishings","Corporate","Central","Germany","20.13","4.02","1","0.1997"
"2015-01-01","Furniture","Tables","Consumer","South","Spain","267.98","-341.74","2","-1"
"2015-01-01","Office Supplies","Appliances","Corporate","Central","Germany","248.94","2.76","1","0.0111"
"2015-01-01","Office Supplies","Art","Consumer","Central","Austria","54.9","9.87","1","0.1798"
"2015-01-01","Office Supplies","Art","Consumer","Central","France","1096.44","119.58","35","0.1091"
"2015-01-01","Office Supplies","Art","Consumer","Central","Netherlands","5.03","-0.1","1","-0.0209"
"2015-01-01","Office Supplies","Art","Consumer","North","Sweden","30.9","-13.65","5","-0.4417"
"2015-01-01","Office Supplies","Art","Consumer","North","United Kingdom","102.72","19.5","2","0.1898"
"2015-01-01","Office Supplies","Art","Corporate","Central","France","299.97","50.82","11","0.1694"
"2015-01-01","Office Supplies","Art","Corporate","Central","Germany","256.8","48.75","5","0.1898"
"2015-01-01","Office Supplies","Art","Corporate","North","United Kingdom","26.64","-21.9","2","-0.8221"
"2015-01-01","Office Supplies","Art","Home Office","Central","France","296.67","97.08","7","0.3272"
"2015-01-01","Office Supplies","Art","Home Office","South","Italy","81.54","16.53","2","0.2027"
"2015-01-01","Office Supplies","Binders","Consumer","Central","France","177.84","5.31","15","0.0299"
"2015-01-01","Office Supplies","Binders","Consumer","Central","Netherlands","9.04","-3.46","3","-0.3831"
"2015-01-01","Office Supplies","Binders","Consumer","North","Denmark","25.54","-10.76","1","-0.421"
"2015-01-01","Office Supplies","Binders","Consumer","North","Norway","64.38","25.53","5","0.3966"
"2015-01-01","Office Supplies","Binders","Consumer","South","Italy","22.05","6.75","3","0.3061"
"2015-01-01","Office Supplies","Binders","Corporate","Central","France","202.2","22.2","4","0.1098"
"2015-01-01","Office Supplies","Binders","Corporate","Central","Germany","161.07","14.19","13","0.0881"
"2015-01-01","Office Supplies","Binders","Home Office","Central","Belgium","11.58","3.12","2","0.2694"
"2015-01-01","Office Supplies","Binders","Home Office","South","Italy","145.26","43.56","3","0.2999"
"2015-01-01","Office Supplies","Envelopes","Consumer","Central","France","11.7","-8.01","3","-0.6846"
"2015-01-01","Office Supplies","Envelopes","Corporate","South","Italy","48.42","21.24","3","0.4387"
"2015-01-01","Office Supplies","Fasteners","Consumer","South","Italy","41.16","2.88","4","0.07"
"2015-01-01","Office Supplies","Fasteners","Corporate","Central","France","33.39","2.25","3","0.0674"
"2015-01-01","Office Supplies","Fasteners","Corporate","South","Spain","108.24","33.36","8","0.3082"
"2015-01-01","Office Supplies","Labels","Consumer","Central","Netherlands","21.9","-12.3","4","-0.5616"
"2015-01-01","Office Supplies","Labels","Consumer","South","Italy","54","7.5","5","0.1389"
"2015-01-01","Office Supplies","Labels","Consumer","South","Spain","71.85","15.63","8","0.2175"
"2015-01-01","Office Supplies","Labels","Corporate","Central","Germany","20.7","7.44","2","0.3594"
"2015-01-01","Office Supplies","Labels","Home Office","North","Denmark","17.06","-7.52","3","-0.4406"
"2015-01-01","Office Supplies","Paper","Consumer","Central","France","59.58","21.42","2","0.3595"
"2015-01-01","Office Supplies","Paper","Consumer","Central","Netherlands","49.8","-37.86","2","-0.7602"
"2015-01-01","Office Supplies","Paper","Consumer","North","United Kingdom","33.93","-6.15","2","-0.1813"
"2015-01-01","Office Supplies","Paper","Consumer","South","Italy","55.17","2.7","3","0.0489"
"2015-01-01","Office Supplies","Paper","Corporate","Central","Germany","169.5","25.35","5","0.1496"
"2015-01-01","Office Supplies","Paper","Home Office","Central","Austria","224.07","102.96","11","0.4595"
"2015-01-01","Office Supplies","Paper","Home Office","North","Sweden","44.86","-26.06","3","-0.5807"
"2015-01-01","Office Supplies","Storage","Consumer","Central","Austria","97.02","31.02","2","0.3197"
"2015-01-01","Office Supplies","Storage","Consumer","Central","France","221.24","4.61","8","0.0208"
"2015-01-01","Office Supplies","Storage","Consumer","Central","Netherlands","198.42","-130.98","2","-0.6601"
"2015-01-01","Office Supplies","Storage","Corporate","Central","France","941.3","237.92","16","0.2528"
"2015-01-01","Office Supplies","Storage","Corporate","North","United Kingdom","222.98","-42.32","5","-0.1898"
"2015-01-01","Office Supplies","Storage","Home Office","Central","Belgium","666","119.85","5","0.18"
"2015-01-01","Office Supplies","Storage","Home Office","South","Italy","936.45","67.14","10","0.0717"
"2015-01-01","Office Supplies","Supplies","Consumer","Central","France","345.33","162.27","9","0.4699"
"2015-01-01","Office Supplies","Supplies","Corporate","Central","Germany","54.6","2.16","2","0.0396"
"2015-01-01","Technology","Accessories","Consumer","Central","Germany","495.42","232.8","2","0.4699"
"2015-01-01","Technology","Accessories","Consumer","North","Norway","88.2","18.45","3","0.2092"
"2015-01-01","Technology","Copiers","Corporate","Central","Germany","1117.92","63.66","4","0.0569"
"2015-01-01","Technology","Copiers","Corporate","South","Portugal","570.28","-216.76","3","-0.3801"
"2015-01-01","Technology","Machines","Corporate","Central","Germany","522.06","20.88","2","0.04"
"2015-01-01","Technology","Machines","Home Office","Central","Austria","485.73","77.67","3","0.1599"
"2015-01-01","Technology","Phones","Corporate","Central","France","64.64","24.32","1","0.3763"
"2015-01-01","Technology","Phones","Home Office","Central","Austria","439.56","65.88","6","0.1499"
"2015-02-01","Furniture","Bookcases","Consumer","Central","Netherlands","874.68","-577.32","4","-0.66"
"2015-02-01","Furniture","Bookcases","Consumer","South","Spain","729.48","240.72","2","0.33"
"2015-02-01","Furniture","Bookcases","Corporate","Central","Belgium","2076","103.8","5","0.05"
"2015-02-01","Furniture","Bookcases","Corporate","Central","Switzerland","780.3","117","2","0.1499"
"2015-02-01","Furniture","Bookcases","Corporate","South","Spain","821.52","353.22","2","0.43"
"2015-02-01","Furniture","Bookcases","Home Office","South","Spain","367.56","14.67","3","0.0399"
"2015-02-01","Furniture","Chairs","Consumer","South","Spain","266.5","23.26","4","0.0873"
"2015-02-01","Furniture","Chairs","Corporate","Central","France","4544.1","1868.13","11","0.4111"
"2015-02-01","Furniture","Chairs","Corporate","North","United Kingdom","268.81","23.89","2","0.0889"
"2015-02-01","Furniture","Chairs","Corporate","South","Italy","47.35","-60.41","2","-1"
"2015-02-01","Furniture","Chairs","Corporate","South","Spain","727.54","-81.86","2","-0.1125"
"2015-02-01","Furniture","Furnishings","Consumer","Central","Netherlands","533.38","-0.14","6","-0.0003"
"2015-02-01","Furniture","Furnishings","Consumer","South","Italy","102.78","29.76","2","0.2896"
"2015-02-01","Furniture","Furnishings","Corporate","Central","Netherlands","266.83","89.98","3","0.3372"
"2015-02-01","Furniture","Furnishings","Corporate","South","Spain","127.26","19.08","3","0.1499"
"2015-02-01","Furniture","Tables","Consumer","Central","Netherlands","272.67","-499.98","3","-1"
"2015-02-01","Furniture","Tables","Consumer","South","Italy","1003.02","-942.9","4","-0.9401"
